Year,No,Position,Player,Words,OneName,DOB,Age,Caps,Club,ClubCountry
1966,19,FW,Silva,1,TRUE,2-Jan-40,26,,Brazil Flamengo,Brazil
1966,20,MF,Tostão,1,TRUE,25-Jan-47,19,,Brazil Cruzeiro,Brazil
1966,21,FW,Paraná,1,TRUE,21-Mar-42,24,,Brazil São Paulo,Brazil
1966,22,FW,Edu,1,TRUE,6-Aug-49,16,,Brazil Santos,Brazil
1970,1,GK,Félix,1,TRUE,24-Dec-37,32,23,Brazil Fluminense,Brazil
1970,2,DF,Brito,1,TRUE,9-Aug-39,30,28,Brazil Flamengo,Brazil
1970,3,DF,Piazza,1,TRUE,25-Feb-44,26,16,Brazil Cruzeiro,Brazil
1970,4,DF,Carlos Alberto,2,FALSE,17-Jul-44,25,40,Brazil Santos,Brazil
1970,5,MF,Clodoaldo,1,TRUE,26-Sep-49,20,7,Brazil Santos,Brazil
1970,6,DF,Marco Antônio,2,FALSE,6-Feb-51,19,7,Brazil Fluminense,Brazil
1970,7,FW,Jairzinho,1,TRUE,25-Dec-44,25,45,Brazil Botafogo,Brazil
1970,8,MF,Gérson,1,TRUE,11-Jan-41,29,54,Brazil São Paulo,Brazil
1970,9,FW,Tostão,1,TRUE,25-Mar-44,26,36,Brazil Cruzeiro,Brazil
1970,10,FW,Pelé,1,TRUE,23-Oct-40,29,81,Brazil Santos,Brazil
1970,11,MF,Rivelino,1,TRUE,1-Jan-46,24,21,Brazil Corinthians,Brazil
1970,12,GK,Ado,1,TRUE,4-Jul-46,23,2,Brazil Corinthians,Brazil
1970,13,FW,Roberto,1,TRUE,31-Jul-44,25,9,Brazil Botafogo,Brazil
1970,14,DF,Baldocchi,1,TRUE,14-Mar-46,24,1,Brazil Palmeiras,Brazil
1970,15,DF,Fontana,1,TRUE,31-Dec-40,29,6,Brazil Cruzeiro,Brazil
1970,16,DF,Everaldo,1,TRUE,11-Sep-44,25,8,Brazil Grêmio,Brazil
1970,17,DF,Joel,1,TRUE,18-Sep-46,23,26,Brazil Santos,Brazil
1970,18,MF,Paulo César,2,FALSE,16-Jun-49,20,14,Brazil Botafogo,Brazil
1970,19,FW,Edu,1,TRUE,6-Aug-49,20,29,Brazil Santos,Brazil
1970,20,FW,Dario,1,TRUE,4-Mar-46,24,3,Brazil Atlético Mineiro,Brazil
1970,21,DF,Zé Maria,2,FALSE,18-May-49,21,1,Brazil Portuguesa,Brazil
1970,22,GK,Leão,1,TRUE,11-Jul-49,20,2,Brazil Palmeiras,Brazil
1974,1,GK,Leão,1,TRUE,11-Jul-49,24,19,Brazil Palmeiras,Brazil
1974,2,DF,Luís Pereira,2,FALSE,21-Jun-49,24,15,Brazil Palmeiras,Brazil
1974,3,DF,Marinho Peres,2,FALSE,19-Mar-47,27,5,Brazil Santos,Brazil
1974,4,MF,Zé Maria,2,FALSE,18-May-49,25,28,Brazil Corinthians,Brazil
1974,5,MF,Piazza,1,TRUE,25-Feb-43,31,44,Brazil Cruzeiro,Brazil
1974,6,DF,Marinho Chagas,2,FALSE,8-Feb-53,21,9,Brazil Botafogo,Brazil
1974,7,MF,Jairzinho,1,TRUE,25-Dec-44,29,73,Brazil Botafogo,Brazil
1974,8,FW,Leivinha,1,TRUE,11-Sep-49,24,18,Brazil Palmeiras,Brazil
1974,9,FW,César,1,TRUE,17-May-45,29,8,Brazil Palmeiras,Brazil
1974,10,MF,Rivelino,1,TRUE,1-Jan-46,28,55,Brazil Corinthians,Brazil
1974,11,MF,Paulo César,2,FALSE,16-Jun-49,24,42,Brazil Flamengo,Brazil
1974,12,GK,Renato,1,TRUE,5-Dec-44,29,2,Brazil Flamengo,Brazil
1974,13,FW,Valdomiro,1,TRUE,17-Feb-46,28,9,Brazil Internacional,Brazil
1974,14,DF,Nelinho,1,TRUE,26-Jul-50,23,2,Brazil Cruzeiro,Brazil
1974,15,DF,Alfredo,1,TRUE,18-Oct-46,27,1,Brazil Palmeiras,Brazil
